id,path,app,format,source,producer,producer_version,features,license_status,tier,expected_status,quarantine_reason,sha256,size_bytes,notes
docx_ms_expansion_111_word,corpus/docx/docx_ms_expansion_111_word.docx,word,docx,private-source:8736b0255ca0a06f,Microsoft Office Word,16.0000,office-native;media;equations;headers;footers;footnotes;endnotes;customxml;content-controls;fields,private-evaluation-only,nightly,pass,,8736b0255ca0a06fe87557d41a3617d6d1fdbc6e2ff2eb6c9a02967f779d4830,237924,parts=25; slides=0; charts=0; media=2; embeddings=0; private evaluation only; do not redistribute; private source redacted
docx_ms_expansion_112_generative-ai-at-isb,corpus/docx/docx_ms_expansion_112_generative-ai-at-isb.docx,word,docx,private-source:40bbc68e2b8d7be9,Microsoft Word for the web,16.0000,office-native;media;headers;footers;footnotes;endnotes;customxml;content-controls;fields;hyperlinks,private-evaluation-only,nightly,pass,,40bbc68e2b8d7be99ed8c16d0c980ee1fe93ae26f22a3db3caf999ec8d13aa93,3274165,parts=61; slides=0; charts=0; media=21; embeddings=0; private evaluation only; do not redistribute; private source redacted
docx_ms_expansion_113_swiss-design-resume,corpus/docx/docx_ms_expansion_113_swiss-design-resume.docx,word,docx,private-source:b053143829f40367,Microsoft Office Word,16.0000,office-native;footnotes;endnotes;customxml;content-controls;track-changes;hyperlinks,private-evaluation-only,nightly,pass,,b053143829f40367abf1201d205621a2efa75f733babc262371fff90b216c92a,57729,parts=33; slides=0; charts=0; media=0; embeddings=0; private evaluation only; do not redistribute; private source redacted
docx_ms_expansion_114_pinstripes-business-cards,corpus/docx/docx_ms_expansion_114_pinstripes-business-cards.docx,word,docx,private-source:4babeb425d6f4bad,Microsoft Office Word,16.0000,office-native;media;footnotes;endnotes;customxml;content-controls,private-evaluation-only,nightly,pass,,4babeb425d6f4badc43c4ab378b2d227ad0b9303529fd17f7d83408054ecd08c,336564,parts=44; slides=0; charts=0; media=12; embeddings=0; private evaluation only; do not redistribute; private source redacted
docx_ms_expansion_115_small-business-startup-checklist,corpus/docx/docx_ms_expansion_115_small-business-startup-checklist.docx,word,docx,private-source:f0e8ca95312d16d0,Microsoft Office Word,16.0000,office-native;media;headers;footers;footnotes;endnotes;customxml;content-controls;fields,private-evaluation-only,nightly,pass,,f0e8ca95312d16d0522361e4c731e453391fb826e7ea7e06e460da9623e1a53e,174908,parts=37; slides=0; charts=0; media=1; embeddings=0; private evaluation only; do not redistribute; private source redacted
docx_ms_expansion_116_winter-holiday-party-checklist,corpus/docx/docx_ms_expansion_116_winter-holiday-party-checklist.docx,word,docx,private-source:1f547061ae30496e,Microsoft Office Word,16.0000,office-native;media;footnotes;endnotes;customxml;content-controls,private-evaluation-only,nightly,pass,,1f547061ae30496e5c73a3c7224aad625ce031b97cd4c34655727bc0bce3726b,950321,parts=34; slides=0; charts=0; media=3; embeddings=0; private evaluation only; do not redistribute; private source redacted
docx_ms_expansion_117_wdatevalueformat,corpus/docx/docx_ms_expansion_117_wdatevalueformat.docx,word,docx,private-source:63c9bcd86043557e,Microsoft Office Word,16.0000,office-native;media;headers;footers;footnotes;endnotes;customxml;fields;hyperlinks,private-evaluation-only,nightly,pass,,63c9bcd86043557e3f5639370dd99e92434cbcaba690eb2fdba9c0f3769068c4,105566,parts=25; slides=0; charts=0; media=3; embeddings=0; private evaluation only; do not redistribute; private source redacted
docx_ms_expansion_118_geometric-business-cards,corpus/docx/docx_ms_expansion_118_geometric-business-cards.docx,word,docx,private-source:2b676dc29923458a,Microsoft Office Word,16.0000,office-native;media;footnotes;endnotes;customxml;content-controls,private-evaluation-only,nightly,pass,,2b676dc29923458a8380f3256877048ab27a501e225e0d1614da4e7a23311dbb,381647,parts=44; slides=0; charts=0; media=9; embeddings=0; private evaluation only; do not redistribute; private source redacted
docx_ms_expansion_119_small-business-email-marketing-templ,corpus/docx/docx_ms_expansion_119_small-business-email-marketing-templ.docx,word,docx,private-source:82ca10ad55f1d8ff,Microsoft Office Word,16.0000,office-native;charts;media;embedded-objects;embedded-workbooks;footnotes;endnotes;customxml;content-controls;track-changes;hyperlinks,private-evaluation-only,nightly,pass,,82ca10ad55f1d8ff8181c71d44816f89f2db3860b88aeece5086777d7dc474fd,570541,parts=43; slides=0; charts=4; media=5; embeddings=1; private evaluation only; do not redistribute; private source redacted
docx_ms_expansion_120_whitepaper-with-cover-image,corpus/docx/docx_ms_expansion_120_whitepaper-with-cover-image.docx,word,docx,private-source:85f531bc87ab61d8,Microsoft Office Word,16.0000,office-native;media;footers;footnotes;endnotes;customxml;content-controls;fields;hyperlinks,private-evaluation-only,nightly,pass,,85f531bc87ab61d8d9b866171a1db431ec9ecb844c85961dc5f423994304dbbd,2786151,parts=33; slides=0; charts=0; media=6; embeddings=0; private evaluation only; do not redistribute; private source redacted
docx_ms_expansion_121_office-file,corpus/docx/docx_ms_expansion_121_office-file.docx,word,docx,private-source:c7b85afb70d8e032,Microsoft Office Word,16.0000,office-native;media;headers;footers;footnotes;endnotes;customxml;fields;hyperlinks,private-evaluation-only,nightly,pass,,c7b85afb70d8e032a0e42cb074030ce7dd48cd54d11aa4302af89222416e5d70,174692,parts=28; slides=0; charts=0; media=5; embeddings=0; private evaluation only; do not redistribute; private source redacted
docx_ms_expansion_122_eighties-business-cards,corpus/docx/docx_ms_expansion_122_eighties-business-cards.docx,word,docx,private-source:371a8517d13b132e,Microsoft Office Word,16.0000,office-native;footnotes;endnotes;customxml;content-controls;track-changes,private-evaluation-only,nightly,pass,,371a8517d13b132e1689d76c3ed7f4f7d3fe8e4ac6c6cc68309f985f2099ad13,406512,parts=35; slides=0; charts=0; media=0; embeddings=0; private evaluation only; do not redistribute; private source redacted
docx_ms_expansion_123_tdf164905,corpus/docx/docx_ms_expansion_123_tdf164905.docx,word,docx,private-source:9c6cc479ac7525b8,Microsoft Office Word,16.0000,office-native;headers;footers;footnotes;endnotes;customxml;content-controls;fields;hyperlinks,private-evaluation-only,nightly,pass,,9c6cc479ac7525b82ad609a6ddb629d74dc42d85a463fe4497f8c21c681adc80,46831,parts=26; slides=0; charts=0; media=0; embeddings=0; private evaluation only; do not redistribute; private source redacted
docx_ms_expansion_124_tdf154478,corpus/docx/docx_ms_expansion_124_tdf154478.docx,word,docx,private-source:2af13d3cd96caefb,Microsoft Office Word,16.0000,office-native;footnotes;endnotes;customxml;content-controls;track-changes;fields;hyperlinks,private-evaluation-only,nightly,pass,,2af13d3cd96caefbf45b149bd87cfb44e55a6a548eb3b65608e1387d54be605b,46878,parts=20; slides=0; charts=0; media=0; embeddings=0; private evaluation only; do not redistribute; private source redacted
docx_ms_expansion_126_bold-business-report,corpus/docx/docx_ms_expansion_126_bold-business-report.docx,word,docx,private-source:67ad9808eb88f4bd,Microsoft Office Word,16.0000,office-native;charts;media;embedded-objects;embedded-workbooks;headers;footers;footnotes;endnotes;customxml;content-controls;track-changes;fields,private-evaluation-only,nightly,pass,,67ad9808eb88f4bd0c0827ab2c7924677b486bba6ff198b9b73bc3af748b744c,9517365,parts=44; slides=0; charts=4; media=7; embeddings=1; private evaluation only; do not redistribute; private source redacted
docx_ms_expansion_127_fdo69649,corpus/docx/docx_ms_expansion_127_fdo69649.docx,word,docx,private-source:787153f47dc5184f,Microsoft Office Word,14.0000,office-native;headers;footers;footnotes;endnotes;customxml;content-controls;fields;hyperlinks,private-evaluation-only,nightly,pass,,787153f47dc5184fb997c884e56361f67de645cbb50ca783c6e02d0e0d55832f,35048,parts=24; slides=0; charts=0; media=0; embeddings=0; private evaluation only; do not redistribute; private source redacted
docx_ms_expansion_128_style-inheritance,corpus/docx/docx_ms_expansion_128_style-inheritance.docx,word,docx,private-source:139ff6b6f6e6ab9b,Microsoft Office Word,15.0000,office-native;footers;footnotes;endnotes;customxml;content-controls;fields;hyperlinks,private-evaluation-only,nightly,pass,,139ff6b6f6e6ab9b00a57887ddf58a02d901cc0f31e22b73899d6066a8fe3d4e,26321,parts=19; slides=0; charts=0; media=0; embeddings=0; private evaluation only; do not redistribute; private source redacted
docx_ms_expansion_130_classroom-newsletter,corpus/docx/docx_ms_expansion_130_classroom-newsletter.docx,word,docx,private-source:bdf906707438844c,Microsoft Office Word,16.0000,office-native;media;footnotes;endnotes;customxml;content-controls;track-changes,private-evaluation-only,nightly,pass,,bdf906707438844cf8e07b83085f2edd822bef494f490bb6ea62b07fcaaac7cf,236336,parts=33; slides=0; charts=0; media=2; embeddings=0; private evaluation only; do not redistribute; private source redacted
